FIPS,Pred0,Pred1,Pred2,Pred3,80_0,80_1,80_2,80_3,Actual
21137,344.8033288969759,262.04,268.77786,272.0,Dec-19-2021,Sep-28-2021,Oct-04-2021,Oct-08-2021,
21139,361.3803689679938,265.85,293.9989,314.0,Jan-09-2022,Oct-05-2021,Nov-02-2021,Nov-23-2021,
21141,384.9109759017046,260.38,287.07706,291.0,Feb-07-2022,Oct-06-2021,Nov-02-2021,Nov-06-2021,
21143,358.6211246035578,275.57,289.34235,321.0,Jan-06-2022,Oct-15-2021,Oct-29-2021,Nov-30-2021,
21145,367.23390530403196,265.39,298.29047,311.0,Jan-17-2022,Oct-07-2021,Nov-09-2021,Nov-22-2021,
21147,356.28326710091534,264.37,274.63586,308.0,Jan-14-2022,Oct-14-2021,Oct-24-2021,Nov-27-2021,
21149,351.7031347300712,303.06,265.99878,303.0,Dec-23-2021,Nov-05-2021,Sep-28-2021,Nov-05-2021,
21151,334.93269213533557,250.21,279.18137,297.0,Dec-16-2021,Sep-23-2021,Oct-22-2021,Nov-09-2021,
21153,335.48219922169307,255.16,262.31387,297.0,Dec-29-2021,Oct-10-2021,Oct-17-2021,Nov-21-2021,
21155,335.90746828957697,298.58,251.59036,331.0,Dec-28-2021,Nov-21-2021,Oct-05-2021,Dec-24-2021,
21157,353.62267844696294,254.32,271.39954,297.0,Jan-01-2022,Sep-24-2021,Oct-11-2021,Nov-06-2021,
21159,346.58854961378563,262.14,307.70667,290.0,Dec-25-2021,Oct-02-2021,Nov-16-2021,Oct-30-2021,
21161,353.57964703426836,262.97,273.6494,308.0,Jan-09-2022,Oct-10-2021,Oct-21-2021,Nov-25-2021,
21163,359.5407167004342,268.22,293.70905,314.0,Jan-27-2022,Oct-28-2021,Nov-22-2021,Dec-13-2021,
21165,348.5451655460783,268.13,284.4061,268.0,Dec-26-2021,Oct-07-2021,Oct-23-2021,Oct-07-2021,
21167,354.8804198524092,244.94,282.4359,297.0,Dec-29-2021,Sep-10-2021,Oct-18-2021,Nov-02-2021,
21169,338.4186326946061,266.63,266.24884,315.0,Dec-14-2021,Oct-03-2021,Oct-03-2021,Nov-21-2021,
21171,379.7638206252865,266.79,307.45825,313.0,Feb-05-2022,Oct-15-2021,Nov-25-2021,Dec-01-2021,
21173,369.82630673769285,258.79,308.96634,268.0,Jan-14-2022,Sep-25-2021,Nov-14-2021,Oct-05-2021,
21175,380.41909415662104,262.41,307.2689,268.0,Feb-16-2022,Oct-21-2021,Dec-05-2021,Oct-27-2021,
21177,357.52503069364974,258.53,275.3343,331.0,Jan-01-2022,Sep-24-2021,Oct-11-2021,Dec-06-2021,
21179,372.54143471432775,270.92,297.75754,313.0,Jan-17-2022,Oct-07-2021,Nov-03-2021,Nov-19-2021,
21181,358.37129999811214,256.31,267.05444,309.0,Dec-31-2021,Sep-20-2021,Oct-01-2021,Nov-12-2021,
21183,343.82123715340674,269.21,276.96326,314.0,Dec-16-2021,Oct-03-2021,Oct-10-2021,Nov-17-2021,
21185,345.083559897059,264.23,293.33557,311.0,Dec-31-2021,Oct-11-2021,Nov-09-2021,Nov-27-2021,
21187,352.1803764304396,265.97,292.82318,314.0,Dec-27-2021,Oct-01-2021,Oct-28-2021,Nov-19-2021,
21189,388.59096252536995,261.61,315.1369,314.0,Feb-05-2022,Oct-01-2021,Nov-24-2021,Nov-23-2021,
21191,350.66986566513583,252.12,261.0436,295.0,Dec-29-2021,Sep-22-2021,Oct-01-2021,Nov-04-2021,
21193,362.69740221983096,262.98,302.64682,314.0,Jan-08-2022,Sep-30-2021,Nov-09-2021,Nov-21-2021,
21195,372.44987950380727,265.01,306.65298,314.0,Jan-22-2022,Oct-07-2021,Nov-17-2021,Nov-25-2021,
21197,358.77107498602385,266.57,300.89648,272.0,Jan-06-2022,Oct-06-2021,Nov-09-2021,Oct-12-2021,
21199,359.9383107282569,268.28,305.03326,272.0,Jan-15-2022,Oct-16-2021,Nov-22-2021,Oct-20-2021,
21201,360.0637158964169,270.64,287.8807,321.0,Jan-19-2022,Oct-21-2021,Nov-07-2021,Dec-11-2021,
21203,344.8411728951812,264.12,279.41568,285.0,Dec-22-2021,Oct-03-2021,Oct-18-2021,Oct-24-2021,
21205,333.56793281322007,240.94,260.55963,285.0,Dec-12-2021,Sep-10-2021,Sep-30-2021,Oct-25-2021,
21207,337.9115393534958,263.13,270.21567,319.0,Dec-16-2021,Oct-03-2021,Oct-10-2021,Nov-28-2021,
21209,371.7206401264538,264.15,276.0762,328.0,Jan-28-2022,Oct-13-2021,Oct-25-2021,Dec-16-2021,
21211,358.10105746911773,266.97,313.1355,272.0,Jan-19-2022,Oct-19-2021,Dec-05-2021,Oct-25-2021,
21213,354.15839878925607,267.45,293.03015,314.0,Dec-30-2021,Oct-04-2021,Oct-30-2021,Nov-20-2021,
21215,335.52053860482,241.62,254.72018,285.0,Dec-13-2021,Sep-10-2021,Sep-23-2021,Oct-24-2021,
21217,366.4776175854011,266.91,292.35007,330.0,Jan-15-2022,Oct-07-2021,Nov-02-2021,Dec-10-2021,
21219,355.0691595642159,264.4,271.98215,306.0,Jan-02-2022,Oct-03-2021,Oct-10-2021,Nov-14-2021,
21221,366.33923228732596,263.9,299.1073,283.0,Jan-14-2022,Oct-03-2021,Nov-08-2021,Oct-23-2021,
